Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for UK
Areal series, starting in 1862
Last updated 01-Feb-2020 14:15
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1987   45.2   68.8  112.6   64.8   55.0  103.2   85.6   87.3   93.9  164.3   91.4   90.1   302.3   232.4   276.0   349.6  1062.0
1988  169.9   90.7  126.7   52.8   58.5   37.2  150.5  117.2   93.3  118.8   65.3   81.5   350.6   238.0   305.0   277.3  1162.4
1989   98.0  137.9  124.5   79.2   32.2   62.9   42.1  103.0   59.1  128.8   60.5  118.9   317.4   235.9   208.0   248.4  1047.1
1990  170.1  193.4   95.4   60.3   35.7   93.8   49.6   73.2   82.5  142.9   79.1  130.3   482.4   191.4   216.5   304.4  1206.2
1991  111.5   70.4   94.2   91.1   22.8  103.5   76.5   43.4   84.3  107.3  138.4   82.8   312.2   208.1   223.5   330.0  1026.3
1992   79.1   89.8  128.1   91.1   59.1   39.3   86.7  162.9  118.2   96.0  161.4  107.2   251.8   278.3   289.0   375.6  1219.1
1993  175.6   33.5   59.3  102.5   98.7   68.8   94.5   62.2   99.5   93.9   73.6  188.8   316.3   260.4   225.4   267.0  1150.6
1994  154.8   88.6  146.7   94.6   49.6   63.0   54.4   82.9  103.2   98.4  108.2  174.3   432.1   290.8   200.3   309.8  1218.6
1995  180.9  142.9   94.4   40.7   59.8   29.8   58.1   18.6  135.5  117.8   99.9   73.4   498.1   194.9   106.5   353.1  1051.7
1996   75.0  102.0   48.8   73.0   65.8   42.5   55.3   78.7   44.4  136.9  147.9   67.1   250.4   187.6   176.5   329.2   937.3
1997   29.7  168.4   67.2   43.4   87.2  115.7   64.1   83.9   62.2   72.6  123.2  133.5   265.2   197.9   263.7   257.9  1051.0
1998  134.2   82.5  105.3  120.9   41.4  121.8   93.3   79.1   92.6  187.7  118.6  122.7   350.2   267.6   294.1   398.9  1300.1
1999  164.9   83.4   89.0   88.7   76.0   93.9   46.4   91.8  140.5   93.5  109.9  195.7   371.0   253.7   232.1   343.9  1273.8
2000  102.5  132.0   68.0  123.7   77.5   58.5   59.6   85.5  133.8  199.9  176.4  156.8   430.2   269.2   203.6   510.1  1374.1
2001   79.0   97.0   85.6   89.5   43.3   58.2   81.6   96.9   88.9  165.2   95.1   70.1   332.8   218.3   236.7   349.2  1050.3
2002  134.7  175.2   75.6   68.1  101.6   86.8   98.4   73.9   40.7  154.0  163.3  109.1   380.0   245.3   259.2   357.9  1281.3
2003  114.1   48.5   53.7   50.4   98.3   71.2   78.3   26.9   54.1   64.0  120.4  121.9   271.7   202.4   176.4   238.5   901.9
2004  151.3   74.2   70.2   93.2   51.1   84.9   70.6  159.8  103.5  165.4   75.3  111.2   347.4   214.5   315.2   344.2  1210.6
2005  127.2   70.0   73.0   91.0   72.8   71.8   59.4   85.7   92.4  141.8  116.1   80.6   308.4   236.8   216.9   350.4  1081.9
2006   59.7   65.1  110.7   67.6  112.5   42.2   53.4   92.1  102.5  143.0  153.5  173.8   205.4   290.8   187.8   399.0  1176.1
2007  153.0  110.1   88.6   26.9  114.1  135.9  134.8   86.1   67.1   64.7  101.4  114.2   436.9   229.5   356.8   233.2  1196.9
2008  189.3   82.0  122.6   76.1   47.8   78.8  108.2  134.8  105.7  155.0  105.9   87.7   385.6   246.5   321.8   366.6  1293.9
2009  119.5   60.0   79.2   60.1   81.9   61.9  145.3  115.1   63.9  107.7  215.1  100.5   267.1   221.2   322.4   386.7  1210.2
2010   79.6   74.6   78.8   47.9   39.1   38.5  107.1   97.4  113.5  100.7  122.8   47.3   254.8   165.8   243.0   337.0   947.3
2011  102.2  114.0   49.6   36.2  101.4   84.8   75.9  105.6  107.8  122.6   99.6  167.0   263.5   187.3   266.3   330.0  1166.8
2012  110.5   59.8   36.9  128.0   65.6  148.9  118.3  111.2  112.1  125.7  135.2  178.5   337.3   230.5   378.5   373.0  1330.7
2013  110.1   59.7   64.4   63.2   92.0   48.7   65.2   72.4   71.3  162.8   90.6  186.3   348.3   219.6   186.3   324.7  1086.7
2014  187.0  168.1   80.0   67.5   99.4   54.6   64.5  138.6   22.8  157.7  123.4  132.0   541.4   247.0   257.7   303.9  1295.7
2015  153.7   80.1   95.3   45.6  110.2   56.4  107.7  104.8   52.1   72.2  172.2  217.4   365.7   251.0   269.0   296.5  1267.7
2016  179.0  110.3   83.6   77.2   61.3   96.0   78.8   85.5   96.6   47.2  104.9   77.4   506.7   222.2   260.2   248.7  1097.7
2017   76.2   93.6   97.9   33.5   57.2  110.5  101.4  102.8  117.4  102.1  107.9  120.6   247.1   188.6   314.7   327.4  1121.0
2018  132.7   68.9  103.8   83.9   47.9   34.9   54.5   83.2  101.9  104.6  122.0  117.6   322.2   235.6   172.5   328.5  1055.8
2019   65.1   71.9  129.1   48.7   63.8  107.7   88.9  136.5  122.4  138.8  117.6  138.9   254.6   241.5   333.0   378.9  1229.3
2020  121.7                                                                                                                     
